WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,GFA,BTTM_AREA,BLDG_STTS_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,OCRN_YR,SEASN_NM,QTR_NO,OCRN_YMD,OCRN_TM,OCRN_MM,OCRN_DAY,OCRN_HR,OCRN_MN,DCLR_DOW,FRSTN_NM,CNTR_NM,LFDAU_NM,DSPT_REQ_TM,FIRE_SUPESN_REQ_TM,GRNDS_CTPV_NM,GRNDS_SGG_NM,CTY_FRMVL_SE_NM,DAMG_RGN_LOT,DAMG_RGN_LAT,GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_LCLSF_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_JOIN_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,EMRG_CNTRL_YN,IGTN_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_FIRE_IGTN_BRNCH_NM,HR_UNIT_ARTMP,HR_UNIT_RN,HR_UNIT_WSPD,HR_UNIT_WNDRCT,HR_UNIT_HUM,HR_UNIT_SNWFL,HR_UNIT_VSDST,행정동
170202071532965,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3.0,1.0,766.0,218.0,사용중,0,0,0,81,2017,겨울,1,20170202,43400,2,2,4,34,목요일,강남소방서,역삼119안전센터,역삼119안전센터,615,300,서울특별시,강남구,도시,127.0424177,37.5064623,3.0,2.0,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,-1.0,0.0,N,N,N,,,,,,-8.6,,1.6,270.0,47.0,,2000.0,역삼1동
170206085841983,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6.0,3.0,7709.0,827.0,사용중,0,0,0,491,2017,겨울,1,20170206,64100,2,6,6,41,월요일,강남소방서,역삼119안전센터,역삼119안전센터,512,900,서울특별시,강남구,도시,127.0452171,37.507863,2.0,2.0,0.0,작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),전기/전자,전선피복,계절용 기기,환풍기/송풍기/공조기,전기/전자,전선피복,판매/업무시설,일반업무,일반빌딩,2.0,0.0,N,Y,N,,,,,,-3.7,,1.7,290.0,59.0,,1276.0,역삼1동
170208203311146,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,15.0,5.0,47541.0,3676.0,사용중,0,0,0,5859,2017,겨울,1,20170208,183100,2,8,18,31,수요일,강남소방서,역삼119안전센터,역삼119안전센터,433,1100,서울특별시,강남구,도시,127.0304239,37.495406,4.0,1.0,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,튀김유,,,,,생활서비스,음식점,한식,-1.0,10.0,N,Y,N,,,,,,-0.6,,2.5,250.0,43.0,,1769.0,역삼1동
170210225244841,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,4.0,1.0,778.0,181.0,사용중,0,0,0,346,2017,겨울,1,20170210,215500,2,10,21,55,금요일,강남소방서,역삼119안전센터,역삼119안전센터,336,300,서울특별시,강남구,도시,127.0359212,37.4986972,4.0,1.0,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,기타,기타,,,,,생활서비스,음식점,기타 음식점,1.0,0.0,N,Y,N,,,,,,-7.1,,3.6,290.0,49.0,,1995.0,역삼1동
170212024307248,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,5.0,1.0,829.0,137.0,사용중,0,0,0,866,2017,겨울,1,20170211,104700,2,11,10,47,토요일,강남소방서,역삼119안전센터,역삼119안전센터,438,3700,서울특별시,강남구,도시,127.0448739,37.5065545,4.0,1.0,0.0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전선피복,계절용 기기,열선,,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),1.0,0.0,N,Y,N,,,,,,-6.5,,3.9,320.0,45.0,,1907.0,역삼1동
170212215443671,기타(쓰레기 화재등),,,,,,,,,,0,0,0,107,2017,겨울,1,20170212,210400,2,12,21,4,일요일,강남소방서,역삼119안전센터,역삼119안전센터,417,200,서울특별시,강남구,도시,127.0428676,37.507854,3.0,2.0,0.0,미상(발화원인),미상,부주의,불장난,종이/목재/건초등,종이,,,,,기타,야외,쓰레기,,,N,N,N,,,,,,-1.5,,1.6,270.0,62.0,,1990.0,역삼1동
170214024150277,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,5.0,1.0,1083.0,192.0,사용중,0,0,0,48,2017,겨울,1,20170214,15200,2,14,1,52,화요일,강남소방서,역삼119안전센터,역삼119안전센터,138,827,서울특별시,강남구,도시,127.0358226,37.4967039,4.0,1.0,0.0,미상(발화원인),미상,방화의심,방화의심,가구,테이블/ 의자,미상,미상,,,주거,공동주택,다세대주택,-1.0,0.0,N,Y,N,,,,,,-0.7,,3.8,290.0,77.0,,899.0,역삼1동
170217165030677,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,17.0,4.0,14066.0,669.0,신축,0,0,0,300,2017,겨울,1,20170217,85800,2,17,8,58,금요일,강남소방서,역삼119안전센터,역삼119안전센터,354,1300,서울특별시,강남구,도시,127.0291821,37.4955199,4.0,1.0,0.0,불꽃/ 불티,용접/ 절단/ 연마,부주의,용접/ 절단/ 연마,합성수지,우레탄,산업장비,용접절단기(토치),,,기타서비스,기타건축물,기타 건축물,7.0,0.0,N,N,N,,,,,,0.1,,4.3,270.0,80.0,,1977.0,역삼1동
170217211351826,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3.0,1.0,1537.0,42301.0,사용중,0,0,0,36,2017,겨울,1,20170217,201600,2,17,20,16,금요일,강남소방서,역삼119안전센터,역삼119안전센터,245,935,서울특별시,강남구,도시,127.0422074,37.5049654,3.0,1.0,0.0,작동기기,기기 전도/복사열,기계적 요인,자동제어 실패,합성수지,플라스틱/ PVC/ 비닐/ 장판,계절용 기기,기타(계절용기기),,,생활서비스,음식점,한식,1.0,0.0,N,Y,N,,,,,,-2.0,,4.1,270.0,50.0,,2000.0,역삼1동
170218045503061,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,7.0,1.0,1384.0,229.0,사용중,0,0,0,20,2017,겨울,1,20170218,25000,2,18,2,50,토요일,강남소방서,역삼119안전센터,역삼119안전센터,537,801,서울특별시,강남구,도시,127.0338208,37.5056908,4.0,2.0,0.0,작동기기,기기 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),3.0,0.0,N,Y,N,,,,,,-5.9,,2.1,340.0,53.0,,2000.0,역삼1동
170227153843509,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3.0,1.0,746.0,267.0,공가,0,0,0,337,2017,겨울,1,20170227,131400,2,27,13,14,월요일,강남소방서,역삼119안전센터,역삼119안전센터,434,902,서울특별시,강남구,도시,127.0348447,37.5043808,3.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,판매/업무시설,판매시설,상가빌딩,1.0,5.0,N,Y,N,,,,,,8.9,,3.0,290.0,22.0,,1994.0,역삼1동
170227171824883,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6.0,1.0,806.0,129.0,사용중,0,0,0,30,2017,겨울,1,20170227,142700,2,27,14,27,월요일,강남소방서,역삼119안전센터,역삼119안전센터,213,0,서울특별시,강남구,도시,127.0442229,37.5050248,2.0,1.0,0.0,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,합성수지,플라스틱/ PVC/ 비닐/ 장판,배선/배선기구,플러그,,,생활서비스,음식점,한식,2.0,0.0,N,Y,N,,,,,,10.1,,3.4,250.0,21.0,,1985.0,역삼1동
170307160320635,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,4.0,1.0,571.0,140.0,사용중,0,0,0,469,2017,봄,1,20170307,125200,3,7,12,52,화요일,강남소방서,역삼119안전센터,역삼119안전센터,358,600,서울특별시,강남구,도시,127.0392857,37.503776,4.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,판매/업무시설,일반업무,일반빌딩,2.0,2.0,N,N,N,,,,,,0.4,,2.9,270.0,27.0,,1921.0,역삼1동
170307174803785,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,5.0,1.0,839.0,138.0,사용중,0,0,0,73,2017,봄,1,20170307,161800,3,7,16,18,화요일,강남소방서,역삼119안전센터,역삼119안전센터,407,0,서울특별시,강남구,도시,127.0317017,37.4972079,3.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,판매/업무시설,일반업무,일반빌딩,1.0,0.0,N,Y,N,,,,,,2.6,,4.2,250.0,24.0,,2000.0,역삼1동
170318210628871,기타(쓰레기 화재등),,,,,,,,,,0,0,0,0,2017,봄,1,20170318,200500,3,18,20,5,토요일,강남소방서,역삼119안전센터,역삼119안전센터,511,600,서울특별시,강남구,도시,127.0293333,37.4972246,4.0,2.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,기타 쓰레기,,,,,기타,야외,쓰레기,,,N,N,N,,,,,,8.9,,1.9,270.0,28.0,,1264.0,역삼1동
170320133149360,건축/구조물,양식(옥),철골철근콘크리트조,슬라브가,1.0,16.0,6.0,14860.0,1075.0,사용중,0,0,0,1346,2017,봄,1,20170320,112200,3,20,11,22,월요일,강남소방서,역삼119안전센터,역삼119안전센터,237,1544,서울특별시,강남구,도시,127.0400391,37.5066536,3.0,1.0,0.0,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,전기/전자,전선피복,계절용 기기,전기히터/스토브,,,판매/업무시설,숙박시설,호텔,-6.0,10.0,N,Y,N,,,,,,12.6,,2.6,50.0,30.0,,990.0,역삼1동
170322081416778,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,4.0,1.0,4994.0,1399.0,사용중,0,0,0,1336,2017,봄,1,20170321,192400,3,21,19,24,화요일,강남소방서,역삼119안전센터,역삼119안전센터,330,600,서울특별시,강남구,도시,127.0380626,37.5073753,4.0,1.0,0.0,담뱃불/ 라이터불,촛불,부주의,불씨/불꽃/화원방치,종이/목재/건초등,기타(종이/목재/건초등),,,종이/목재/건초등,기타(종이/목재/건초등),생활서비스,음식점,한식,1.0,10.0,N,Y,N,,,,,,9.6,,5.4,290.0,28.0,,1972.0,역삼1동
170326153802878,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,5.0,1.0,990.0,132.0,사용중,0,0,0,6447,2017,봄,1,20170326,123200,3,26,12,32,일요일,강남소방서,역삼119안전센터,역삼119안전센터,359,1000,서울특별시,강남구,도시,127.0306962,37.498182,4.0,2.0,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,튀김유,,,,,생활서비스,음식점,중식,1.0,30.0,N,N,N,,,,,,10.7,,2.3,250.0,36.0,,1048.0,역삼1동
170402171312642,기타(쓰레기 화재등),,,,,,,,,,0,0,0,0,2017,봄,2,20170402,152800,4,2,15,28,일요일,강남소방서,역삼119안전센터,역삼119안전센터,338,700,서울특별시,강남구,도시,127.0338046,37.4923987,5.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,기타,야외,쓰레기,,,N,N,N,,,,,,15.1,,4.2,250.0,26.0,,1438.0,역삼1동
170412102317511,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,7.0,1.0,3849.0,492.0,사용중,0,0,0,451,2017,봄,2,20170411,213000,4,11,21,30,화요일,강남소방서,역삼119안전센터,역삼119안전센터,259,828,서울특별시,강남구,도시,127.0375201,37.4959065,3.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,아파트,7.0,0.0,N,Y,N,,,,,,14.4,,5.1,290.0,22.0,,1996.0,역삼1동
170412111542535,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6.0,1.0,3422.0,591.0,사용중,0,0,0,136,2017,봄,2,20170412,13200,4,12,1,32,수요일,강남소방서,역삼119안전센터,역삼119안전센터,420,557,서울특별시,강남구,도시,127.0304935,37.5028096,4.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,목재/ 합판,,,,,주거,공동주택,아파트,1.0,0.0,N,Y,N,,,,,,10.8,,1.4,270.0,22.0,,1998.0,역삼1동
170412194619352,기타(쓰레기 화재등),,,,,,,,,,0,0,0,30,2017,봄,2,20170412,182200,4,12,18,22,수요일,강남소방서,역삼119안전센터,역삼119안전센터,304,0,서울특별시,강남구,도시,127.0382785,37.4969693,4.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,기타,야외,쓰레기,,,N,N,N,,,,,,12.4,,4.5,230.0,15.0,,2000.0,역삼1동
170423151736238,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,4.0,1.0,653.0,115.0,사용중,0,0,0,49,2017,봄,2,20170418,23600,4,18,2,36,화요일,강남소방서,역삼119안전센터,역삼119안전센터,436,0,서울특별시,강남구,도시,127.0397076,37.5037488,3.0,1.0,0.0,작동기기,기기 전도/복사열,부주의,음식물 조리중,식품,기타(식품),주방기기,가스렌지,,,생활서비스,음식점,한식,1.0,0.0,N,N,N,,,,,,10.6,,1.9,250.0,82.0,,1638.0,역삼1동
170424070717916,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,4.0,1.0,602.0,122.0,사용중,0,1,1,4033,2017,봄,2,20170424,11600,4,24,1,16,월요일,강남소방서,역삼119안전센터,역삼119안전센터,414,2014,서울특별시,강남구,도시,127.0358893,37.5062597,2.0,4.0,0.0,불꽃/ 불티,기타(불꽃/불티),방화의심,방화의심,기타,기타,주방기기,가스렌지,침구/직물류,의류,주거,공동주택,다세대주택,1.0,20.0,N,N,N,,,,,,11.0,,0.4,0.0,42.0,,1926.0,역삼1동
170424071552741,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6.0,3.0,2859.0,277.0,사용중,0,0,0,119,2017,봄,2,20170424,61200,4,24,6,12,월요일,강남소방서,역삼119안전센터,역삼119안전센터,452,505,서울특별시,강남구,도시,127.0296049,37.4996314,4.0,2.0,0.0,불꽃/ 불티,모닥불/ 연탄/ 숯,부주의,불씨/불꽃/화원방치,합성수지,기타(합성수지),,,,,생활서비스,음식점,한식,1.0,5.0,N,Y,N,,,,,,8.3,,1.6,50.0,55.0,,2000.0,역삼1동
170426174514894,기타(쓰레기 화재등),,,,,,,,,,0,0,0,404,2017,봄,2,20170426,165700,4,26,16,57,수요일,강남소방서,역삼119안전센터,역삼119안전센터,420,100,서울특별시,강남구,도시,127.0394584,37.4944662,4.0,3.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이,,,,,기타,야외,쓰레기,,,N,N,N,,,,,,19.6,,5.0,270.0,22.0,,2000.0,역삼1동
